n,seconds
1,0.0000253010
2,0.0000380430
3,0.0000839220
4,0.0000808510
5,0.0001012700
6,0.0001663840
7,0.0001611620
8,0.0001589130
9,0.0001664180
10,0.0001798210
11,0.0002055380
12,0.0002234610
13,0.0002365680
14,0.0002591650
15,0.0002687070
16,0.0002890100
17,0.0003160030
18,0.0003362450
19,0.0003590720
20,0.0003775630
21,0.0004023720
22,0.0004304840
23,0.0004377600
24,0.0004557740
25,0.0004793570
26,0.0005091010
27,0.0005155230
28,0.0005425100
29,0.0005618800
30,0.0005840720
31,0.0006217580
32,0.0006428500
33,0.0007246500
34,0.0006832020
35,0.0007066960
36,0.0007293510
37,0.0007694170
38,0.0007713970
39,0.0007871430
40,0.0008014480
41,0.0008237860
42,0.0008488720
43,0.0008917210
44,0.0008997090
45,0.0009147210
46,0.0009482120
47,0.0009699290
48,0.0010043370
49,0.0010147640
50,0.0010243760
51,0.0010603940
52,0.0011388960
53,0.0011237640
54,0.0011243610
55,0.0011493330
56,0.0011898400
57,0.0011778710
58,0.0012029490
59,0.0012389020
60,0.0012719530
61,0.0012697450
62,0.0013019140
63,0.0013277240
64,0.0013501590
65,0.0013517170
66,0.0015610420
67,0.0014166080
68,0.0013867940
69,0.0014017460
70,0.0013985190
71,0.0014235710
72,0.0014668830
73,0.0014973430
74,0.0014934320
75,0.0015177950
76,0.0015678240
77,0.0015602200
78,0.0017713290
79,0.0016065720
80,0.0016049590
81,0.0016455710
82,0.0016659340
83,0.0016980660
84,0.0017351030
85,0.0017130950
86,0.0017519880
87,0.0020838520
88,0.0018031950
89,0.0018813140
90,0.0021469620
91,0.0023458940
92,0.0022277010
93,0.0029440400
94,0.0022697720
95,0.0025582870
96,0.0028887070
97,0.0022757350
98,0.0022941980
99,0.0020995340
100,0.0022236600
101,0.0021254760
102,0.0023856810
103,0.0024072740
104,0.0022471380
105,0.0021374520
106,0.0021792750
107,0.0022049320
108,0.0022262690
109,0.0022662980
110,0.0022331610
111,0.0025347840
112,0.0022895010
113,0.0023471270
114,0.0023319670
115,0.0023476030
116,0.0024135810
117,0.0024314490
118,0.0024948330
119,0.0026839540
120,0.0026039570
121,0.0026061500
122,0.0025817770
123,0.0027404780
124,0.0026837290
125,0.0029990120
126,0.0027270970
127,0.0026208710
128,0.0026770380
129,0.0027096990
130,0.0027154170
131,0.0028367880
132,0.0029598940
133,0.0027831210
134,0.0028367500
135,0.0028994930
136,0.0029585290
137,0.0029183280
138,0.0032446850
139,0.0031729280
140,0.0029769740
141,0.0030272340
142,0.0030594030
143,0.0031327250
144,0.0031543260
145,0.0030883640
146,0.0031464510
147,0.0031513660
148,0.0031805990
149,0.0033574530
150,0.0031502970
151,0.0032577550
152,0.0032866040
153,0.0032791990
154,0.0034551760
155,0.0036876260
156,0.0034310970
157,0.0033841980
158,0.0033999680
159,0.0034336550
160,0.0036374550
161,0.0034867010
162,0.0035552080
163,0.0035031470
164,0.0036139280
165,0.0036752320
166,0.0035619860
167,0.0036047510
168,0.0036256410
169,0.0036848960
170,0.0044156500
171,0.0042938640
172,0.0035378420
173,0.0039380100
174,0.0039174390
175,0.0039593910
176,0.0039477220
177,0.0038023860
178,0.0037459680
179,0.0040274110
180,0.0039554490
181,0.0039053820
182,0.0045407260
183,0.0060063150
184,0.0058937870
185,0.0040685110
186,0.0039510690
187,0.0040405020
188,0.0046881270
189,0.0049814250
190,0.0044532470
191,0.0044835520
192,0.0044109650
193,0.0042873710
194,0.0046961110
195,0.0046495670
196,0.0041850250
197,0.0040686480
198,0.0042901550
199,0.0044020730
200,0.0046245350
