n,seconds
1,0.0000067940
2,0.0000018480
3,0.0000013430
4,0.0000017100
5,0.0000020400
6,0.0000024650
7,0.0000027650
8,0.0000030910
9,0.0000037600
10,0.0000046570
11,0.0000050680
12,0.0000057340
13,0.0000061870
14,0.0000068750
15,0.0000074050
16,0.0000082030
17,0.0000088630
18,0.0000093480
19,0.0000105220
20,0.0000112890
21,0.0000122660
22,0.0000131200
23,0.0000135710
24,0.0000146810
25,0.0000155880
26,0.0000173040
27,0.0000187900
28,0.0000194840
29,0.0000204660
30,0.0000221140
31,0.0000231390
32,0.0000250020
33,0.0000257630
34,0.0000270000
35,0.0000282130
36,0.0000291280
37,0.0000302170
38,0.0000318570
39,0.0000343070
40,0.0000348760
41,0.0000373880
42,0.0000383020
43,0.0000395060
44,0.0000406260
45,0.0000432970
46,0.0000523590
47,0.0000460790
48,0.0000496310
49,0.0000488660
50,0.0000519110
51,0.0000527580
52,0.0000549060
53,0.0000581710
54,0.0000602270
55,0.0000620510
56,0.0000635800
57,0.0000658300
58,0.0000691620
59,0.0000704230
60,0.0000714670
61,0.0000743290
62,0.0000751890
63,0.0000795180
64,0.0000820570
65,0.0001462690
66,0.0001409340
67,0.0001489220
68,0.0001168330
69,0.0001286620
70,0.0001032410
71,0.0001283980
72,0.0001049870
73,0.0001128410
74,0.0001086350
75,0.0001105190
76,0.0001155080
77,0.0001182600
78,0.0001270760
79,0.0001245660
80,0.0001299270
81,0.0001294040
82,0.0001334290
83,0.0001431390
84,0.0001389210
85,0.0001489130
86,0.0001513410
87,0.0001474940
88,0.0001524450
89,0.0001634170
90,0.0001645980
91,0.0001703890
92,0.0001776880
93,0.0003047960
94,0.0003180090
95,0.0003232980
96,0.0003279450
97,0.0003339780
98,0.0002536960
99,0.0001974570
100,0.0001987890
101,0.0002017670
102,0.0002063080
103,0.0002093860
104,0.0002150870
105,0.0002133470
106,0.0002179410
107,0.0002267720
108,0.0002256080
109,0.0002385540
110,0.0002351860
111,0.0002404480
112,0.0002523630
113,0.0002723130
114,0.0002692580
115,0.0002659820
116,0.0002621820
117,0.0002644590
118,0.0002704670
119,0.0002785290
120,0.0002790170
121,0.0002976670
122,0.0002985530
123,0.0002907700
124,0.0003119630
125,0.0003009690
126,0.0003121310
127,0.0003114950
128,0.0003132370
129,0.0003201800
130,0.0003534410
131,0.0003341000
132,0.0003371570
133,0.0003593770
134,0.0003724880
135,0.0003466760
136,0.0003574920
137,0.0003550920
138,0.0003707440
139,0.0003711540
140,0.0003715030
141,0.0003836780
142,0.0003810030
143,0.0003878780
144,0.0003918160
145,0.0003949660
146,0.0003992140
147,0.0004097330
148,0.0004101090
149,0.0004156740
150,0.0004212460
151,0.0004286430
152,0.0004387180
153,0.0004444620
154,0.0004441880
155,0.0004577650
156,0.0004627530
157,0.0004636750
158,0.0004791720
159,0.0004908130
160,0.0004872390
161,0.0005002110
162,0.0004902420
163,0.0005275290
164,0.0005064600
165,0.0005231890
166,0.0005181840
167,0.0005353700
168,0.0005370620
169,0.0005285400
170,0.0005402850
171,0.0005660490
172,0.0005544390
173,0.0005754600
174,0.0005809570
175,0.0005814960
176,0.0005833700
177,0.0006014600
178,0.0005885740
179,0.0006036940
180,0.0006041410
181,0.0007154820
182,0.0006431080
183,0.0006318210
184,0.0006320090
185,0.0006471180
186,0.0006315840
187,0.0006596310
188,0.0006559970
189,0.0006553590
190,0.0006676570
191,0.0006726230
192,0.0007047420
193,0.0007237880
194,0.0007017530
195,0.0007219630
196,0.0007110580
197,0.0007236970
198,0.0007501670
199,0.0008738740
200,0.0007896920
201,0.0013656790
202,0.0008335450
203,0.0007848810
204,0.0007672180
205,0.0007969040
206,0.0008155630
207,0.0008019840
208,0.0008087690
209,0.0008041440
210,0.0008370170
211,0.0008549030
212,0.0008743550
213,0.0008474250
214,0.0008547740
215,0.0008476610
216,0.0008619860
217,0.0009028500
218,0.0009068560
219,0.0008904780
220,0.0008892440
221,0.0009061740
222,0.0009095090
223,0.0009529660
224,0.0009581450
225,0.0009399480
226,0.0009415820
227,0.0009810190
228,0.0009599690
229,0.0010227780
230,0.0009688770
231,0.0009755150
232,0.0009877100
233,0.0010173780
234,0.0010014730
235,0.0010223960
236,0.0010499480
237,0.0010503050
238,0.0010381210
239,0.0010648810
240,0.0010715680
241,0.0010766200
242,0.0011148900
243,0.0011089260
244,0.0011020650
245,0.0011273160
246,0.0011427550
247,0.0011570230
248,0.0011282170
249,0.0012134880
250,0.0013132340
251,0.0011985740
252,0.0012648010
253,0.0011599990
254,0.0012081990
255,0.0011869570
256,0.0012454820
257,0.0012390800
258,0.0012372240
259,0.0012272640
260,0.0012370250
261,0.0012510590
262,0.0012693400
263,0.0012562540
264,0.0013170630
265,0.0013038390
266,0.0013366400
267,0.0014692080
268,0.0013562740
269,0.0013399370
270,0.0013468380
271,0.0013378210
272,0.0013715380
273,0.0014215200
274,0.0014051420
275,0.0013799540
276,0.0014061500
277,0.0014483880
278,0.0012466460
279,0.0012588440
280,0.0012958680
281,0.0012685180
282,0.0012976060
283,0.0013693570
284,0.0013289360
285,0.0013501460
286,0.0013430100
287,0.0013323080
288,0.0013279350
289,0.0013595430
290,0.0013884820
291,0.0014427770
292,0.0013949950
293,0.0014407900
294,0.0015237770
295,0.0014622090
296,0.0014699370
297,0.0014932710
298,0.0015054340
299,0.0015173990
300,0.0015538300
301,0.0015573570
302,0.0015477900
303,0.0015641560
304,0.0016044330
305,0.0015585600
306,0.0015637070
307,0.0016323210
308,0.0016019260
309,0.0016204530
310,0.0016489890
311,0.0016753010
312,0.0016403980
313,0.0017819580
314,0.0017215550
315,0.0017187860
316,0.0016813110
317,0.0016801900
318,0.0017072090
319,0.0017181020
320,0.0017272830
321,0.0017381270
322,0.0018886900
323,0.0018461300
324,0.0019055780
325,0.0018671740
326,0.0018290640
327,0.0018271450
328,0.0018141690
329,0.0018161980
330,0.0018343930
331,0.0018512100
332,0.0018491540
333,0.0020366270
334,0.0018822980
335,0.0019243250
336,0.0019516400
337,0.0019920950
338,0.0020076710
339,0.0019180150
340,0.0019788410
341,0.0020474670
342,0.0019923360
343,0.0020706450
344,0.0020003230
345,0.0020857670
346,0.0020616980
347,0.0020870250
348,0.0021034340
349,0.0021555720
350,0.0021194220
351,0.0021552990
352,0.0020988960
353,0.0021501320
354,0.0021891640
355,0.0021621580
356,0.0021579970
357,0.0022333010
358,0.0021798010
359,0.0022170760
360,0.0021783320
361,0.0021916560
362,0.0022347070
363,0.0022568320
364,0.0023103960
365,0.0022895980
366,0.0023467390
367,0.0022497360
368,0.0023808660
369,0.0023960400
370,0.0023512070
371,0.0024018650
372,0.0023850740
373,0.0023638890
374,0.0023763190
375,0.0024406950
376,0.0024803760
377,0.0024871450
378,0.0024066160
379,0.0024457850
380,0.0024956070
381,0.0025055740
382,0.0025662830
383,0.0025916250
384,0.0029974790
385,0.0027363680
386,0.0024967880
387,0.0025462060
388,0.0025620200
389,0.0026257040
390,0.0026303760
391,0.0026809920
392,0.0026756370
393,0.0026280850
394,0.0026798370
395,0.0027047330
396,0.0027639990
397,0.0026868340
398,0.0026982350
399,0.0027456080
400,0.0027999340
401,0.0028348730
402,0.0028307260
403,0.0027843660
404,0.0028538130
405,0.0028817660
406,0.0028415900
407,0.0028808740
408,0.0028061970
409,0.0028867780
410,0.0029251630
411,0.0029171210
412,0.0029708960
413,0.0028813050
414,0.0029979560
415,0.0029765980
416,0.0029206700
417,0.0030634810
418,0.0030152790
419,0.0030196670
420,0.0030185610
421,0.0030866710
422,0.0032500420
423,0.0031113590
424,0.0030576480
425,0.0030076710
426,0.0031978830
427,0.0031679870
428,0.0055393060
429,0.0038859930
430,0.0032408150
431,0.0032212690
432,0.0032368420
433,0.0032291730
434,0.0032497590
435,0.0033138790
436,0.0033262570
437,0.0033799030
438,0.0032579640
439,0.0032209560
440,0.0033540780
441,0.0034084300
442,0.0033603490
443,0.0033748810
444,0.0033312240
445,0.0034374480
446,0.0034531510
447,0.0034259780
448,0.0034597910
449,0.0034895690
450,0.0035524290
451,0.0036016190
452,0.0038167550
453,0.0035284320
454,0.0035499580
455,0.0036068130
456,0.0035812680
457,0.0036087090
458,0.0037091540
459,0.0036831140
460,0.0037093990
461,0.0036328260
462,0.0036877130
463,0.0038281910
464,0.0037540250
465,0.0036769220
466,0.0037841870
467,0.0037250610
468,0.0037385970
469,0.0037819100
470,0.0038322990
471,0.0038002540
472,0.0038566740
473,0.0038000050
474,0.0038306190
475,0.0038538750
476,0.0038958830
477,0.0039036950
478,0.0039455790
479,0.0038397970
480,0.0039528500
481,0.0039594420
482,0.0039571220
483,0.0040496650
484,0.0040611020
485,0.0040153410
486,0.0040972120
487,0.0040691970
488,0.0041668530
489,0.0040567050
490,0.0041390260
491,0.0040654110
492,0.0042674980
493,0.0042224280
494,0.0042295200
495,0.0042173120
496,0.0042290990
497,0.0042735590
498,0.0043197770
499,0.0043839300
500,0.0043110090
501,0.0044236920
502,0.0043612610
503,0.0043750650
504,0.0043629770
505,0.0042922000
506,0.0044313510
507,0.0044920780
508,0.0043941730
509,0.0043526120
510,0.0044236190
511,0.0044609610
512,0.0045679120
513,0.0046004660
514,0.0045033290
515,0.0045306030
516,0.0045436360
517,0.0045458790
518,0.0046180960
519,0.0046268270
520,0.0045949480
521,0.0046408050
522,0.0046882440
523,0.0046065690
524,0.0047808240
525,0.0047905180
526,0.0047943870
527,0.0046810730
528,0.0048776820
529,0.0048602880
530,0.0049154470
531,0.0047799180
532,0.0049651040
533,0.0048235500
534,0.0049356110
535,0.0049445690
536,0.0049221960
537,0.0049469230
538,0.0049519580
539,0.0049430500
540,0.0050503160
541,0.0051496760
542,0.0049904830
543,0.0053033870
544,0.0050650950
545,0.0050432300
546,0.0053428870
547,0.0052249040
548,0.0052922480
549,0.0057786370
550,0.0051641310
551,0.0052315290
552,0.0053276100
553,0.0053234790
554,0.0052472280
555,0.0054076730
556,0.0053712800
557,0.0053387670
558,0.0053867930
559,0.0054019370
560,0.0054187110
561,0.0054101540
562,0.0056475580
563,0.0055749700
564,0.0055405450
565,0.0055406540
566,0.0054886810
567,0.0054925840
568,0.0060380830
569,0.0054341240
570,0.0054022140
571,0.0056166190
572,0.0051880700
573,0.0053211340
574,0.0054100820
575,0.0052392520
576,0.0053586970
577,0.0053693760
578,0.0054235980
